gene_id,combined_name,bin,n_genomes
WP_015529766.1,MULTISPECIES: glycerol-3-phosphate 1-O-acyltransferase PlsY [Mediterraneibacter],Bin 1,7
WP_015529770.1,MULTISPECIES: HPr family phosphocarrier protein [Mediterraneibacter],Bin 1,7
WP_015529777.1,MULTISPECIES: prephenate dehydratase [Lachnospiraceae],Bin 1,7
WP_015529778.1,MULTISPECIES: ATP-binding protein [Mediterraneibacter],Bin 1,7
WP_015529781.1,MULTISPECIES: guanylate kinase [Lachnospiraceae],Bin 1,7
WP_015529807.1,TIGR03915 family putative DNA repair protein [[Ruminococcus] torques],Bin 1,7
WP_015529908.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_015529939.1,MULTISPECIES: ureidoglycolate lyase [Mediterraneibacter],Bin 1,7
WP_015529952.1,ABC transporter ATP-binding protein [[Ruminococcus] torques],Bin 1,7
WP_015529956.1,hypothetical protein [[Ruminococcus] torques],Bin 1,7
WP_015529988.1,FHA domain-containing protein [[Ruminococcus] torques],Bin 1,7
WP_015530088.1,MULTISPECIES: cysteine synthase A [Mediterraneibacter],Bin 1,7
WP_015530108.1,MULTISPECIES: HPr family phosphocarrier protein [Mediterraneibacter],Bin 1,7
WP_020435645.1,MULTISPECIES: molybdopterin-binding protein [Lachnospiraceae],Bin 1,7
WP_020435697.1,MULTISPECIES: Fur family transcriptional regulator [Mediterraneibacter],Bin 1,7
WP_020435706.1,MULTISPECIES: 1-phosphofructokinase [Mediterraneibacter],Bin 1,7
WP_020435839.1,MULTISPECIES: sodium-translocating pyrophosphatase [Mediterraneibacter],Bin 1,7
WP_020435856.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_020435879.1,MULTISPECIES: GntR family transcriptional regulator [Clostridia],Bin 1,7
WP_020435958.1,MULTISPECIES: helix-turn-helix domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436008.1,MULTISPECIES: rod shape-determining protein MreC [Mediterraneibacter],Bin 1,7
WP_020436158.1,MULTISPECIES: HAD family hydrolase [Mediterraneibacter],Bin 1,7
WP_020436178.1,MULTISPECIES: RNA polymerase sporulation sigma factor SigK [Mediterraneibacter],Bin 1,7
WP_020436186.1,MULTISPECIES: MOSC domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436187.1,MULTISPECIES: GTP 3' 8-cyclase MoaA [Mediterraneibacter],Bin 1,7
WP_020436188.1,MULTISPECIES: MogA/MoaB family molybdenum cofactor biosynthesis protein [Mediterraneibacter],Bin 1,7
WP_020436191.1,MULTISPECIES: dicarboxylate/amino acid:cation symporter [Mediterraneibacter],Bin 1,7
WP_020436194.1,MULTISPECIES: pyruvate formate-lyase-activating protein [Mediterraneibacter],Bin 1,7
WP_020436197.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_020436198.1,MULTISPECIES: histidine phosphatase family protein [Mediterraneibacter],Bin 1,7
WP_020436199.1,MULTISPECIES: alpha/beta hydrolase [Mediterraneibacter],Bin 1,7
WP_020436207.1,MULTISPECIES: carbohydrate ABC transporter permease [Mediterraneibacter],Bin 1,7
WP_020436208.1,MULTISPECIES: RluA family pseudouridine synthase [Mediterraneibacter],Bin 1,7
WP_020436209.1,MULTISPECIES: ABC transporter permease [Mediterraneibacter],Bin 1,7
WP_020436210.1,MULTISPECIES: imidazole glycerol phosphate synthase subunit HisH [Mediterraneibacter],Bin 1,7
WP_020436211.1,MULTISPECIES: sensor histidine kinase [Mediterraneibacter],Bin 1,7
WP_020436216.1,MULTISPECIES: polyamine aminopropyltransferase [Mediterraneibacter],Bin 1,7
WP_020436217.1,agmatinase [[Ruminococcus] torques],Bin 1,7
WP_020436218.1,saccharopine dehydrogenase family protein [[Ruminococcus] torques],Bin 1,7
WP_020436219.1,carboxynorspermidine decarboxylase [[Ruminococcus] torques],Bin 1,7
WP_020436220.1,MULTISPECIES: SpoVA/SpoVAEb family sporulation membrane protein [Mediterraneibacter],Bin 1,7
WP_020436223.1,MULTISPECIES: CpsB/CapC family capsule biosynthesis tyrosine phosphatase [Mediterraneibacter],Bin 1,7
WP_020436224.1,MULTISPECIES: YveK family protein [Mediterraneibacter],Bin 1,7
WP_020436225.1,MULTISPECIES: CpsD/CapB family tyrosine-protein kinase [Mediterraneibacter],Bin 1,7
WP_020436244.1,MULTISPECIES: DUF362 domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436245.1,MULTISPECIES: cupin domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436249.1,MULTISPECIES: stage II sporulation protein P [Mediterraneibacter],Bin 1,7
WP_020436254.1,MULTISPECIES: RNase P modulator RnpM [Mediterraneibacter],Bin 1,7
WP_020436257.1,MULTISPECIES: DHH family phosphoesterase [Mediterraneibacter],Bin 1,7
WP_020436258.1,MULTISPECIES: tRNA pseudouridine(55) synthase TruB [Mediterraneibacter],Bin 1,7
WP_020436261.1,MULTISPECIES: SpoIIIAC/SpoIIIAD family protein [Mediterraneibacter],Bin 1,7
WP_020436262.1,MULTISPECIES: stage III sporulation protein AE [Mediterraneibacter],Bin 1,7
WP_020436263.1,MULTISPECIES: stage III sporulation protein AF [Mediterraneibacter],Bin 1,7
WP_020436264.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_020436266.1,MULTISPECIES: transcription antitermination factor NusB [Mediterraneibacter],Bin 1,7
WP_020436267.1,MULTISPECIES: exodeoxyribonuclease VII large subunit [Mediterraneibacter],Bin 1,7
WP_020436269.1,MULTISPECIES: NAD(+)/NADH kinase [Mediterraneibacter],Bin 1,7
WP_020436270.1,MULTISPECIES: DNA repair protein RecN [Mediterraneibacter],Bin 1,7
WP_020436271.1,MULTISPECIES: SpoIVB peptidase [Mediterraneibacter],Bin 1,7
WP_020436275.1,MULTISPECIES: alanine--tRNA ligase [Mediterraneibacter],Bin 1,7
WP_020436284.1,MULTISPECIES: HAD family hydrolase [Mediterraneibacter],Bin 1,7
WP_020436285.1,MULTISPECIES: acyl-[acyl-carrier-protein] thioesterase [Mediterraneibacter],Bin 1,7
WP_020436286.1,stage II sporulation protein R [[Ruminococcus] torques],Bin 1,7
WP_020436289.1,DUF3794 and LysM peptidoglycan-binding domain-containing protein [[Ruminococcus] torques],Bin 1,7
WP_020436290.1,protease complex subunit PrcB family protein [[Ruminococcus] torques],Bin 1,7
WP_020436291.1,lysophospholipid acyltransferase family protein [[Ruminococcus] torques],Bin 1,7
WP_020436294.1,MULTISPECIES: flavin reductase [Mediterraneibacter],Bin 1,7
WP_020436301.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_020436323.1,MULTISPECIES: MATE family efflux transporter [Mediterraneibacter],Bin 1,7
WP_020436324.1,MULTISPECIES: MATE family efflux transporter [Mediterraneibacter],Bin 1,7
WP_020436325.1,MULTISPECIES: response regulator transcription factor [Mediterraneibacter],Bin 1,7
WP_020436327.1,MULTISPECIES: ABC transporter permease [Mediterraneibacter],Bin 1,7
WP_020436328.1,MULTISPECIES: sensor histidine kinase [Mediterraneibacter],Bin 1,7
WP_020436329.1,TatD family hydrolase [[Ruminococcus] torques],Bin 1,7
WP_020436333.1,MULTISPECIES: TetR/AcrR family transcriptional regulator [Mediterraneibacter],Bin 1,7
WP_020436357.1,MULTISPECIES: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [Mediterraneibacter],Bin 1,7
WP_020436370.1,MULTISPECIES: MATE family efflux transporter [Mediterraneibacter],Bin 1,7
WP_020436371.1,MULTISPECIES: YeiH family protein [Mediterraneibacter],Bin 1,7
WP_020436374.1,MULTISPECIES: acyltransferase [Mediterraneibacter],Bin 1,7
WP_020436375.1,MULTISPECIES: replication restart helicase PriA [Mediterraneibacter],Bin 1,7
WP_020436376.1,MULTISPECIES: peptide deformylase [Mediterraneibacter],Bin 1,7
WP_020436378.1,MULTISPECIES: 16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB [Mediterraneibacter],Bin 1,7
WP_020436383.1,ribulose-phosphate 3-epimerase [[Ruminococcus] torques],Bin 1,7
WP_020436386.1,MULTISPECIES: prolipoprotein diacylglyceryl transferase [Mediterraneibacter],Bin 1,7
WP_020436388.1,MULTISPECIES: AraC family transcriptional regulator [Mediterraneibacter],Bin 1,7
WP_020436389.1,MULTISPECIES: L-fucose isomerase [Mediterraneibacter],Bin 1,7
WP_020436391.1,MULTISPECIES: ABC transporter permease [Mediterraneibacter],Bin 1,7
WP_020436392.1,MULTISPECIES: sugar ABC transporter ATP-binding protein [Mediterraneibacter],Bin 1,7
WP_020436393.1,MULTISPECIES: substrate-binding domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436394.1,MULTISPECIES: RbsD/FucU family protein [Mediterraneibacter],Bin 1,7
WP_020436396.1,HAD family hydrolase [[Ruminococcus] torques],Bin 1,7
WP_020436397.1,MULTISPECIES: beta-ketoacyl-ACP synthase III [Mediterraneibacter],Bin 1,7
WP_020436399.1,MULTISPECIES: ACP S-malonyltransferase [Mediterraneibacter],Bin 1,7
WP_020436401.1,beta-ketoacyl-ACP synthase II [[Ruminococcus] torques],Bin 1,7
WP_020436402.1,MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit [Mediterraneibacter],Bin 1,7
WP_020436403.1,acetyl-CoA carboxylase carboxyl transferase subunit [[Ruminococcus] torques],Bin 1,7
WP_020436408.1,MULTISPECIES: permease-like cell division protein FtsX [Mediterraneibacter],Bin 1,7
WP_020436414.1,MULTISPECIES: Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA [Mediterraneibacter],Bin 1,7
WP_020436416.1,MULTISPECIES: DnaJ C-terminal domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436418.1,MULTISPECIES: methionine ABC transporter permease [Mediterraneibacter],Bin 1,7
WP_020436419.1,MetQ/NlpA family ABC transporter substrate-binding protein [[Ruminococcus] torques],Bin 1,7
WP_020436421.1,MULTISPECIES: ABC transporter substrate-binding protein [Mediterraneibacter],Bin 1,7
WP_020436422.1,dipeptide ABC transporter ATP-binding protein [[Ruminococcus] torques],Bin 1,7
WP_020436423.1,ABC transporter permease [[Ruminococcus] torques],Bin 1,7
WP_020436425.1,MULTISPECIES: sulfurtransferase-like selenium metabolism protein YedF [Mediterraneibacter],Bin 1,7
WP_020436427.1,L-seryl-tRNA(Sec) selenium transferase [[Ruminococcus] torques],Bin 1,7
WP_020436429.1,selenium metabolism-associated LysR family transcriptional regulator [[Ruminococcus] torques],Bin 1,7
WP_020436430.1,MULTISPECIES: aminotransferase class V-fold PLP-dependent enzyme [Mediterraneibacter],Bin 1,7
WP_020436432.1,MULTISPECIES: FprA family A-type flavoprotein [Mediterraneibacter],Bin 1,7
WP_020436441.1,ATP-dependent sacrificial sulfur transferase LarE [[Ruminococcus] torques],Bin 1,7
WP_020436443.1,nickel pincer cofactor biosynthesis protein LarC [[Ruminococcus] torques],Bin 1,7
WP_020436445.1,MULTISPECIES: HPr(Ser) kinase/phosphatase [Mediterraneibacter],Bin 1,7
WP_020436446.1,MATE family efflux transporter [[Ruminococcus] torques],Bin 1,7
WP_020436447.1,MULTISPECIES: chloride channel protein [Mediterraneibacter],Bin 1,7
WP_020436462.1,MULTISPECIES: sporulation integral membrane protein YtvI [Mediterraneibacter],Bin 1,7
WP_020436468.1,MULTISPECIES: helix-turn-helix transcriptional regulator [Mediterraneibacter],Bin 1,7
WP_020436473.1,MULTISPECIES: DUF3881 family protein [Mediterraneibacter],Bin 1,7
WP_020436487.1,MULTISPECIES: undecaprenyl-diphosphate phosphatase [Mediterraneibacter],Bin 1,7
WP_020436488.1,MULTISPECIES: transporter substrate-binding domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436492.1,MULTISPECIES: diacylglycerol/lipid kinase family protein [Mediterraneibacter],Bin 1,7
WP_020436494.1,MULTISPECIES: phosphatase PAP2 family protein [Mediterraneibacter],Bin 1,7
WP_020436500.1,MULTISPECIES: tetratricopeptide repeat protein [Mediterraneibacter],Bin 1,7
WP_020436503.1,MULTISPECIES: elongation factor P 5-aminopentanone reductase [Mediterraneibacter],Bin 1,7
WP_020436504.1,AraC family transcriptional regulator [[Ruminococcus] torques],Bin 1,7
WP_020436507.1,MULTISPECIES: NADH-quinone oxidoreductase subunit NuoF [Mediterraneibacter],Bin 1,7
WP_020436508.1,MULTISPECIES: [FeFe] hydrogenase  group A [Mediterraneibacter],Bin 1,7
WP_020436521.1,MULTISPECIES: Cof-type HAD-IIB family hydrolase [Mediterraneibacter],Bin 1,7
WP_020436522.1,MULTISPECIES: phosphatase [Mediterraneibacter],Bin 1,7
WP_020436523.1,glycyl radical protein [[Ruminococcus] torques],Bin 1,7
WP_020436524.1,MULTISPECIES: class II aldolase/adducin family protein [Mediterraneibacter],Bin 1,7
WP_020436525.1,MULTISPECIES: aldehyde dehydrogenase family protein [Mediterraneibacter],Bin 1,7
WP_020436527.1,MULTISPECIES: BMC domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436528.1,MULTISPECIES: 1-propanol dehydrogenase PduQ [Mediterraneibacter],Bin 1,7
WP_020436529.1,MULTISPECIES: glucosaminidase domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436531.1,MULTISPECIES: LTA synthase family protein [Mediterraneibacter],Bin 1,7
WP_020436532.1,MULTISPECIES: bifunctional folylpolyglutamate synthase/dihydrofolate synthase [Mediterraneibacter],Bin 1,7
WP_020436542.1,TrmH family RNA methyltransferase [[Ruminococcus] torques],Bin 1,7
WP_020436548.1,MULTISPECIES: sensor histidine kinase [Mediterraneibacter],Bin 1,7
WP_020436553.1,MULTISPECIES: Na/Pi cotransporter family protein [Mediterraneibacter],Bin 1,7
WP_020436554.1,MULTISPECIES: CCA tRNA nucleotidyltransferase [Mediterraneibacter],Bin 1,7
WP_020436555.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_020436557.1,MULTISPECIES: spore cortex biosynthesis protein YabQ [Mediterraneibacter],Bin 1,7
WP_020436559.1,MULTISPECIES: SpoIIE family protein phosphatase [Mediterraneibacter],Bin 1,7
WP_020436562.1,MULTISPECIES: glycoside hydrolase family 13 protein [Mediterraneibacter],Bin 1,7
WP_020436568.1,MULTISPECIES: biotin synthase BioB [Mediterraneibacter],Bin 1,7
WP_020436569.1,MULTISPECIES: TrkH family potassium uptake protein [Mediterraneibacter],Bin 1,7
WP_020436579.1,MULTISPECIES: MFS transporter [Mediterraneibacter],Bin 1,7
WP_020436580.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_020436581.1,MULTISPECIES: sirohydrochlorin cobaltochelatase [Mediterraneibacter],Bin 1,7
WP_020436583.1,MULTISPECIES: AzlD domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436589.1,MULTISPECIES: YibE/F family protein [Mediterraneibacter],Bin 1,7
WP_020436595.1,M20 family metallopeptidase [[Ruminococcus] torques],Bin 1,7
WP_020436605.1,MULTISPECIES: electron transport complex subunit RsxC [Mediterraneibacter],Bin 1,7
WP_020436609.1,MULTISPECIES: FAD:protein FMN transferase [Mediterraneibacter],Bin 1,7
WP_020436610.1,MULTISPECIES: NusG domain II-containing protein [Mediterraneibacter],Bin 1,7
WP_020436613.1,MULTISPECIES: U32 family peptidase [Mediterraneibacter],Bin 1,7
WP_020436614.1,MULTISPECIES: FtsW/RodA/SpoVE family cell cycle protein [Mediterraneibacter],Bin 1,7
WP_020436616.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_020436617.1,MULTISPECIES: DUF2953 domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436618.1,MULTISPECIES: GerW family sporulation protein [Mediterraneibacter],Bin 1,7
WP_020436622.1,ATP-dependent DNA helicase RecG [[Ruminococcus] torques],Bin 1,7
WP_020436629.1,MULTISPECIES: YlmC/YmxH family sporulation protein [Mediterraneibacter],Bin 1,7
WP_020436633.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_020436635.1,MULTISPECIES: pseudouridine synthase [Mediterraneibacter],Bin 1,7
WP_020436636.1,MULTISPECIES: YgiQ family radical SAM protein [Mediterraneibacter],Bin 1,7
WP_020436639.1,MULTISPECIES: RluA family pseudouridine synthase [Mediterraneibacter],Bin 1,7
WP_020436645.1,MULTISPECIES: hypothetical protein [Mediterraneibacter],Bin 1,7
WP_020436647.1,MULTISPECIES: PAS domain-containing protein [Mediterraneibacter],Bin 1,7
WP_020436653.1,MULTISPECIES: L-arabinose isomerase [Mediterraneibacter],Bin 1,7
WP_020436658.1,MULTISPECIES: HAD family hydrolase [Mediterraneibacter],Bin 1,7
WP_020436660.1,MULTISPECIES: CidA/LrgA family protein [Mediterraneibacter],Bin 1,7
WP_020436661.1,MULTISPECIES: LrgB family protein [Mediterraneibacter],Bin 1,7
WP_020436667.1,transglutaminase domain-containing protein [[Ruminococcus] torques],Bin 1,7
WP_020436672.1,MULTISPECIES: thiamine phosphate synthase [Mediterraneibacter],Bin 1,7
WP_020436675.1,MULTISPECIES: Fe-S-containing hydro-lyase [Mediterraneibacter],Bin 1,7
